	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
TDO2	16.02522245	19.83923802	14.94145174	16.7456978	17.033466	15.36223903	17.77383877	18.00201994	17.96772573	18.04023535	16.38046761	18.83475639	19.20229757	17.95829118
STAT3	22.98260645	22.55056481	23.00363283	20.42094406	21.35492864	21.56482036	22.07829773	23.28703877	22.83934988	22.95319006	21.11356435	22.41801367	22.30380786	22.68231771
C1QA	20.63605748	21.98677572	22.78388066	19.7987145	20.07663738	20.74204581	21.12336893	21.96718615	21.67210985	21.74015559	20.20579923	22.11882322	21.77698664	24.59157476
FCER1G	18.45359459	19.85299036	20.61139974	20.74028738	20.78616856	18.3936032	20.1115435	21.01195247	20.02933331	20.50150727	19.97335305	22.90561043	23.22462143	21.4260261
MADCAM1	12.03344296	13.49072576	13.07895526	11.80971429	9.172379097	8.854444385	10.96433857	13.63195532	12.44912434	14.5740358	9.945512591	14.32230639	14.22215799	10.98101125
MRC1	20.43315784	22.116969	22.37691366	19.51630624	19.76903476	18.81878525	20.94543011	22.57342219	21.55241215	20.13917072	19.36804208	22.12263534	21.99756251	22.93302442
IL17A	12.66147418	8.133173757	8.619523646	10.22475179	8.172379097	8.854444385	10.70130417	11.8246004	14.85940831	15.12544574	9.083858424	9.234843547	12.392083	10.98101125
ITGAX	18.79801301	18.80824868	19.11936953	17.21343648	18.4368217	18.09761837	19.16972457	19.45030924	19.1813364	19.40080343	17.91595885	19.7406551	19.88304526	18.57346829
TLR7	16.60743434	16.44605671	17.20072423	17.68281658	13.49430719	16.91514032	18.1475604	17.72848225	18.11707621	17.6847216	16.0307547	19.7024491	20.06450834	16.37332867
NFKBIA	21.80418192	21.13686734	21.38190568	19.56571456	21.35430779	19.93392917	21.9127058	22.09124056	22.05752508	22.22360171	20.28465051	21.40820838	21.29797137	22.39569649
DMBT1	19.09069629	18.62902878	14.95937365	11.09922091	14.40119779	17.60263723	20.68087227	21.57132464	20.81014464	20.95982384	14.36768531	21.43206024	20.11621784	14.15093625
IFITM1	22.49780306	23.65207275	23.640113	21.39060094	22.84342252	21.63989685	22.28560904	23.03762865	22.78222083	23.09834108	21.95797344	23.11452251	23.5074157	23.62351428
BTLA	16.98340228	15.05203699	14.01184107	17.60845608	12.87281882	16.08326308	15.64616261	17.17774723	17.66062845	18.66442204	15.52151266	19.14773288	19.76712243	14.30293935
CD19	15.38136626	13.13317376	11.78944865	15.45357048	12.49430719	11.43940689	13.23735707	14.6825814	16.46329167	16.95445954	13.12909485	16.85689537	18.02628902	11.98101125
MAPK1	21.99146833	21.04306684	21.44507875	21.03304566	20.04889604	20.96916277	21.85877743	21.85008606	21.82359189	21.44758598	20.68370149	21.43880325	21.41814529	21.365795
IL2RA	18.06986637	18.88304318	19.40497611	16.15942554	17.83415719	16.49830057	16.84290045	18.5794879	18.77484401	17.90340688	16.83062777	18.23765856	18.66717284	20.09995232
FCRLA	15.74393634	12.65673571	14.11137674	16.6621571	12.42030661	14.24676181	13.62730359	17.12838115	17.43721102	17.29348363	14.44307517	18.55677164	18.85878261	11.98101125
KIR2DL1	8.57401134	8.133173757	8.619523646	7.639789292	9.172379097	8.854444385	8.379376073	8.8246004	8.201196826	8.716054805	8.555537591	9.234843547	12.02951292	10.98101125
CD1C	17.65616038	18.22988891	18.44289089	18.21248952	15.00526911	16.44690142	16.80982862	20.74569749	19.14737207	17.41649452	16.55488668	20.56407929	20.70496595	15.88790185
EGR2	20.3116812	18.94294189	23.24528956	16.99514039	18.56039638	16.96818655	18.12252747	20.70800739	20.6129726	21.11693424	17.50790777	19.72167857	19.98537036	20.32530716
CBLB	19.20154522	19.29304509	18.67751537	18.67183502	18.86934662	18.4617747	19.62552285	19.27374905	19.07848096	20.16829605	18.66765211	19.94823006	19.88660528	18.76237097
IL13	8.57401134	9.133173757	12.20448615	7.639789292	11.97973402	8.854444385	11.54930107	11.14652849	11.37112183	10.7160548	9.491322566	10.23484355	12.54408609	10.98101125
KIAA0101	20.16740246	18.98726294	16.07073476	20.65241383	18.25718748	18.62758359	19.08068253	19.67946878	20.48341652	20.03346742	19.17906163	18.96955317	18.93983442	21.06714748
PTPRCAP	11.38136626	10.13317376	10.61952365	7.639789292	11.3423041	10.85444438	9.379376073	11.14652849	12.44912434	12.52340973	9.945512591	9.234843547	12.54408609	13.56597375
MPO	12.89593943	13.04006435	14.01184107	9.639789292	12.25984194	13.85444438	12.83880769	13.86899452	13.78615933	13.41649452	11.9180252	11.55677164	15.392083	16.15093625
CD163	20.01020234	21.97532764	21.36267504	19.52815203	18.48526205	19.48562144	20.85257446	21.40862334	21.30923115	20.12279129	19.16634517	21.85345847	21.78773613	23.00511203
KIR2DL2	8.57401134	8.133173757	8.619523646	7.639789292	8.172379097	8.854444385	8.379376073	8.8246004	8.201196826	8.716054805	8.222204258	9.234843547	9.222157994	11.98101125
FOXM1	20.86748299	19.0272336	17.49296776	19.39509418	18.42149255	19.82742417	18.24665481	20.76344486	20.70551927	20.30007775	19.2146703	18.98471297	18.5190742	19.85445536
JAML	16.38136626	17.25211483	14.61952365	15.31221463	14.91384608	15.99399574	15.96433857	16.40202923	16.44912434	16.24743627	15.40668548	16.98973105	17.26107698	15.98101125
CXCR4	21.00001395	19.96250009	21.84759074	20.17725039	20.45140923	20.81734039	20.71727668	21.96654786	22.33522199	21.53103774	20.482	21.99805591	22.80888052	20.21463093
TNFSF13B	15.77368368	15.6409684	15.0457884	18.04280132	17.78524759	17.58236484	18.11746833	16.70111735	17.76725086	19.57325828	17.80347125	20.407896	19.92606157	16.68145097
DGAT2	17.61840546	19.84827777	16.49604059	16.25081409	17.33728602	17.35429027	16.20592456	19.63356457	18.86830837	17.27064366	16.98079679	17.11136049	17.03593919	19.01443425
IL12A	16.65616038	14.65673571	16.58530793	14.60557358	15.56469652	16.8988385	16.63676392	15.95388342	16.54992498	16.87592614	15.68970287	15.52024577	17.36170935	18.21941599
KLRG1	17.1209058	15.60890719	15.1741125	16.36770975	14.59864385	14.313876	15.13426357	16.25922863	16.56751904	18.05812947	15.09340987	18.20351034	18.89458334	14.44044287
CEACAM8	11.89593943	8.133173757	11.78944865	7.639789292	10.7573416	8.854444385	8.379376073	13.9945254	8.201196826	12.88597981	9.083858426	9.234843547	11.80712049	10.98101125
VEGFA	22.33701617	23.3540055	22.51301479	21.28612299	21.28547008	23.22417803	25.87728247	23.20018291	21.81981175	21.42707642	21.9319237	21.7024491	21.13429885	22.28821206
IL7R	20.59429684	20.86151947	17.69366511	20.27731984	19.44209022	19.43187321	19.94304903	20.97878561	20.88922853	20.74050193	19.71709442	21.4415527	22.44615967	19.5356001
CD28	18.31716273	17.85768761	17.24888027	17.53460705	16.21677322	16.58915401	16.77598085	18.80044837	18.02456407	18.61692161	16.78017809	19.02111317	19.91651588	15.88790185
EGR3	18.31379195	18.81616834	20.18890461	15.55267863	18.71734353	16.66179931	17.44277115	19.65986132	18.3648465	18.76044892	16.97727382	17.90726889	17.85515319	20.46482703
SH2D1B	13.48090194	12.59260538	13.86745116	15.11552272	14.32212622	12.94190723	12.18673099	15.36375921	15.04668688	15.35991099	14.12651872	17.73866928	17.96362498	10.98101125
SELL	14.91386134	13.34262712	12.61952365	15.58815652	14.74223471	12.85444438	13.50865909	14.65749041	14.66062845	14.782144	14.3949452	16.84955339	17.62729946	13.78836617
PTPRC	18.79921878	16.74050407	16.73326581	19.8190764	17.10901704	17.42049842	17.53166091	20.38062739	19.58921411	20.33398136	18.11619729	20.80849073	22.30729846	14.98101125
PTPN6	20.947964	20.42808164	20.60144763	20.38798214	20.29391261	22.37763876	21.54992711	21.16889631	20.66062845	21.72115298	21.0198445	22.1879487	22.30680032	21.06449058
LYZ	22.00158609	22.02969538	22.27829299	22.04260152	22.61913933	22.73613194	22.85700787	23.32494437	23.3914845	26.83502122	22.4659576	25.09350453	25.2464536	20.79318856
RPS6	25.375265	24.59947331	25.3089757	24.61063666	22.58541195	24.36999024	24.93909671	25.69228938	25.44394297	24.91290663	23.85534628	25.29342725	25.27224045	24.28336458
STAT6	21.81032457	20.63027711	20.64915597	18.80532443	20.27435477	20.21748402	21.36983464	20.68801236	21.02714936	21.32153432	19.76572107	20.7549711	21.14027584	20.9866358
CXCL11	13.78346471	13.2206366	12.61952365	16.45357048	18.08227218	15.62262871	10.37937607	13.28403202	14.10808742	17.35267943	16.71949046	19.39597543	19.44253632	15.15093625
MAPK14	21.10636727	20.73656829	21.78395923	19.94014185	20.27435477	21.05288943	21.76914183	21.63396661	20.83850095	21.72062642	20.42246202	21.43574215	21.56700868	20.63922273
G6PD	19.32639199	20.1928562	19.46579756	22.20334309	21.43271062	20.73975945	19.93827505	19.95966835	20.3987207	18.69333473	21.45860439	19.79326426	19.30829422	20.73589875
CLEC4C	13.0975733	14.86109421	8.619523646	16.38462313	13.72696795	8.854444385	13.42377019	16.13748336	13.00855175	14.59869785	12.98867849	17.45401207	18.41691485	10.98101125
PIK3CA	21.78939266	19.30997024	20.19789634	20.22146065	18.91215971	20.69875785	21.28476308	20.84314834	21.69480213	21.53663269	19.94412607	20.7495576	20.4026888	20.01167839
PYGL	19.9425178	19.92066826	20.32558791	18.77035985	17.75921888	18.9015683	18.36948004	20.252437	19.77437061	21.0997591	18.47704901	19.892162	19.57530482	21.0511322
FAS	20.10977272	20.23908227	21.10157527	18.02672954	18.39879129	18.52863665	18.77918803	19.77004424	20.14956406	19.5064033	18.31805249	20.42713636	20.56700868	19.13582936
GAGE2C	8.57401134	10.94052868	8.619523646	7.639789292	12.56469652	8.854444385	9.379376073	19.57279325	8.201196826	14.30101731	9.686310066	9.234843547	9.222157994	10.98101125
TGFB1	22.11147243	22.2052226	22.68939294	20.59434914	20.44179803	20.52111223	21.87535598	21.50495992	22.15766374	21.4867187	20.51908647	22.01804644	21.967202	23.2431061
S100A9	22.6699028	22.3607145	17.51434141	23.60568628	19.94221694	18.36025594	20.79696491	21.66419788	20.010161	19.14755241	20.63605305	19.07562147	19.40703334	19.99781954
BCL2	18.06986637	16.72188839	18.32515603	16.48841223	17.61739394	17.33017782	15.97928891	16.8580234	17.18988151	18.45076443	17.145328	17.56127303	19.18794228	17.55086686
CD14	20.00498651	22.35105574	22.72682247	18.95946141	19.70180965	19.47282989	20.94519218	21.45259018	21.16318906	20.72763151	19.37803365	21.47324829	21.51562964	23.07508894
HLA.G	9.57401134	8.133173757	14.07895526	8.639789292	10.1723791	12.43940689	12.46683891	17.07726583	13.95608433	8.716054805	10.41719176	9.234843547	11.80712049	18.08953571
CD53	16.46275459	14.54256469	13.01184107	16.73782137	12.3423041	12.66179931	13.80564083	15.67009045	17.00209673	17.23175464	13.91397493	18.343368	19.27744043	10.98101125
TNFRSF4	16.81241608	17.85939192	18.61952365	14.45996825	16.58600703	14.76133498	14.70130417	17.01442496	16.99885835	17.2079079	15.26910342	16.36412656	17.34627931	17.83899225
CD70	13.0975733	17.28799187	18.11537867	12.49777029	12.9272666	8.854444385	12.54930107	14.1821524	14.99561269	14.35991099	11.42649376	14.6611083	14.74571995	19.51628663
HLA.B	21.66097684	12.04006435	21.85119485	14.14758393	15.12657541	22.91539358	14.62730359	15.49702574	13.37112183	15.76044892	17.39651764	17.61422191	14.57971	14.68145097
CCL2	13.70329436	15.83361348	17.02891458	17.08893794	17.00210183	13.49830057	16.03758756	16.77296763	14.66062845	16.29348363	15.86311345	18.42219562	18.66717284	16.33856326
IGF1R	22.46456063	21.18336252	21.73846472	20.12436047	20.56898388	22.56976294	21.67414039	22.31331925	22.2987352	23.41242471	21.08770243	21.05661753	20.65261055	22.40884786
ALOX15B	14.40690135	12.2206366	15.23423349	10.96171739	13.5299311	14.58236484	16.49311824	16.77879671	17.01176846	16.07360681	13.02467111	18.27101716	18.18215993	10.98101125
TBP	19.69100502	18.277832	18.32169633	17.85289351	17.7573416	19.48925543	19.38500062	18.69650564	19.20471474	19.9898504	18.36649685	18.53175975	18.53504095	19.11029427
PTGS2	17.18134165	20.91739962	18.02253567	16.61992887	18.03036009	17.55834796	22.97475012	20.318956	17.92400436	15.52340973	17.40287897	18.56127303	17.66094985	14.15093625
GAGE1	8.57401134	9.133173757	8.619523646	12.16335125	13.84480444	8.854444385	8.379376073	18.45941145	8.201196826	15.47094231	11.62086669	9.234843547	9.222157994	10.98101125
GPR18	16.71866958	14.92758962	14.90492586	17.08065846	14.72696795	14.21199639	15.18673099	17.72848225	15.72475878	17.50395736	15.33987427	18.7894324	20.63842774	11.98101125
EFNA4	18.16833594	17.84225757	17.9836583	16.44392031	16.01158288	14.8086407	19.02593478	18.30438066	17.87891647	17.88096173	15.75471463	17.34858571	17.88749391	17.69525677
HLA.DQA1	10.15897384	17.3005919	18.14504445	18.93441004	12.49430719	16.92053358	18.18350709	18.05101259	17.88067693	18.05812947	16.11641694	20.63625643	20.65313317	13.98101125
BCL2L11	19.24023534	17.76979838	18.79943274	17.35575128	18.47615985	18.81878525	19.00051219	19.3343754	19.17704479	19.44482565	18.21689879	18.3743949	18.56867173	18.284792
KLF2	18.73009442	19.35717543	21.20659792	16.84436044	19.05578608	16.74926215	18.36806076	19.34718193	19.10958945	19.43715399	17.54980289	18.45401207	19.46056273	19.96969594
AKT1	21.50104851	21.48549311	21.96215394	19.91765784	21.34527534	20.7336447	21.64308541	20.98856449	20.70775236	20.06644155	20.66552596	20.46185774	20.49770055	21.48682281
TNFSF4	16.18134165	14.94052868	20.44169611	15.04918023	15.28090355	16.28907261	17.36806076	17.98699173	17.52537737	17.79019627	15.5397188	16.68605466	17.42672914	17.02540537
MS4A1	16.71866958	15.28292088	12.70698649	18.12259725	14.95373881	15.37800634	16.544283	17.22547984	17.87891647	18.12119627	16.15144747	19.49693839	20.9619386	11.98101125
CCL3	17.22506303	18.53084839	21.36162252	15.35403481	18.16673253	16.90429293	17.69225903	17.60596011	19.13930615	19.17446142	16.80835342	18.19773955	17.71401109	21.63743611
GRAP2	19.17949086	16.97866381	17.24157547	17.68554895	17.4368217	17.91243611	16.9416185	18.24245291	18.46798337	19.66369174	17.67826892	20.01374202	20.42978246	15.15093625
NT5E	17.20700654	20.49209963	20.63876686	16.27278449	16.89347829	16.41668681	21.1359324	22.24627079	18.16264652	17.83758832	16.52764986	18.73468943	18.23896628	22.71994793
LILRB2	12.82193885	13.52549118	13.20448615	14.2096449	16.52110725	12.94190723	12.37937607	13.21691782	12.78615933	14.2079079	14.55755313	16.343368	16.87320969	15.15093625
HLA.C	20.55415092	20.54917954	23.40247068	20.22733243	21.00566453	24.7260609	22.08824441	21.17857422	20.59806914	22.20640431	21.98635262	24.14093556	24.56447578	23.36011882
FCGR3B	17.51945518	17.3180491	16.9324066	16.00173307	19.12657541	16.2207666	19.18189244	19.59030089	17.83782145	16.87087291	17.11635836	17.92484152	18.35658431	18.95255481
FOXO1	21.68807899	21.55287065	21.8237891	20.24225619	19.19127472	19.95904314	19.87423166	21.375828	21.26020322	21.82719048	19.79752468	21.51966765	21.64132816	19.5846376
HLA.DOB	15.94033355	17.19656884	16.1741125	18.48213964	14.21677322	16.12123093	17.55430176	18.32045543	19.58219894	17.66442204	16.27338126	20.21783712	20.97328358	12.98101125
JCHAIN	21.70345536	18.3316188	16.88631019	20.04785361	19.95209845	20.52332937	22.10282371	22.29817932	23.5230897	23.50288596	20.17442714	23.31291094	23.29646674	16.02540537
HLA.A	21.17694213	21.38775953	23.33703943	12.68418341	23.29334591	23.68664215	20.45786049	22.3779897	22.14288638	8.716054805	19.88805716	17.10520827	11.54408609	17.92352576
NOS2	17.77613516	8.133173757	12.31996336	11.34022901	14.66423219	16.1023719	16.11408569	11.63195532	11.90163654	12.17548642	14.03561103	14.23484355	9.222157994	10.98101125
