	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
BAGE	8.57401134	8.133173757	18.27415967	7.639789292	16.53432287	8.854444385	9.379376073	14.1821524	8.201196826	16.0379829	11.00951885	9.234843547	9.222157994	10.98101125
CEACAM1	19.24820361	15.83361348	18.83141194	16.28724772	18.06568063	17.88786739	19.36165668	20.01689321	16.83055345	18.74810053	17.41359858	19.31566107	18.80524076	10.98101125
KRT7	18.66808903	22.38295387	22.42768342	12.39467679	20.593655	20.05595573	24.79230972	23.24014413	18.87362217	17.33444031	17.68142917	22.38807889	22.15418815	20.63922273
CTAG1B	8.57401134	8.133173757	10.20448615	10.44714421	13.45778132	8.854444385	8.379376073	8.8246004	8.201196826	12.30101731	10.91978997	9.234843547	9.222157994	10.98101125
MAGEA1	8.57401134	8.133173757	12.20448615	11.88771681	17.72696795	10.85444438	8.379376073	13.34816236	8.201196826	16.38848015	13.48970971	9.234843547	9.222157994	10.98101125
NRP1	20.97595746	23.32511973	22.74590548	21.37513376	21.0421657	21.43376032	23.19060023	22.39647153	21.31656566	20.94907523	21.28368659	22.50674422	22.12942424	22.05381379
HIF1A	23.04467021	23.22423718	22.1999	21.12951184	21.74507932	22.40927303	23.77192829	23.15866414	22.66752825	22.12769819	21.76128806	22.43206024	22.37349171	21.98382627
MAGEA4	8.57401134	8.133173757	14.76927077	10.63978929	17.60909064	8.854444385	8.379376073	8.8246004	8.201196826	13.96398232	12.36777477	9.234843547	9.222157994	17.5356001
HMBS	16.84079788	18.62902878	17.53241298	16.24341564	17.516675	17.1536524	16.91465145	17.36763222	17.57623626	16.27829723	16.97124768	17.1174866	17.01657386	17.78836617
KRT5	26.67187373	21.19454495	17.96603738	26.68140032	21.4040503	20.95937069	17.29823931	16.32444629	26.76675265	25.77116774	23.01494044	17.72268358	14.89458334	18.70893171
LRP1	16.30193179	17.92921337	19.79195115	18.20774537	18.31576231	15.64886025	16.75006348	16.76123834	16.86297492	16.90093015	17.39078931	19.26274954	19.18649886	17.00337906
