group	ID	Activated_CD4_T_cell	Activated_CD8_T_cell	Activated_dendritic_cell	CD56bright_natural_killer_cell	Central_memory_CD4_T_cell	Central_memory_CD8_T_cell	Effector_memeory_CD4_T_cell	Effector_memeory_CD8_T_cell	Natural_killer_cell	Natural_killer_T_cell	Type_1_T_helper_cell	Type_17_T_helper_cell	CD56dim_natural_killer_cell	Immature_dendritic_cell	Macrophage	MDSC	Neutrophil	Plasmacytoid_dendritic_cell	Regulatory_T_cell	Type_2_T_helper_cell	Activated_B_cell	Eosinophil	Gamma_delta_T_cell	Immature__B_cell	Mast_cell	Memory_B_cell	Monocyte	T_follicular_helper_cell
non	TCGA.94.8490.01	0.712110623	0.843517873	-1.297771106	1.355530482	-0.521066123	1.136170589	1.769330122	-0.494472276	-1.49874898	0.160198452	-1.195109608	1.687875198	1.429846873	1.950798198	-1.467195796	-1.13472594	-0.77025234	1.262058221	-2	0.961505264	0.601457624	-0.510241029	-0.226425985	-1.206344527	-2	1.534270531	-0.090340919	-0.892623044
non	TCGA.94.8491.01	-0.238299227	0.791330171	-0.763021449	0.682220451	0.986602191	-0.514184804	0.381161533	0.886809733	-0.184443776	0.511551394	0.304500968	1.05651452	1.300724456	-0.646447702	-0.747540867	0.289701986	1.153686709	0.161152315	-0.904964898	-1.340604215	1.107657611	-0.671772989	-0.818238697	-0.54097065	-0.068212836	-0.401662689	0.415437594	-1.375518783
non	TCGA.94.A4VJ.01	-0.087553849	-0.813507759	-0.423480867	0.861191128	0.053321243	1.064556861	-0.323332188	0.62814347	-1.246575124	0.316653431	0.788590578	2	-0.112241846	0.287244064	-1.058957387	-0.259501405	0.698373363	1.145373747	-0.828551237	-1.160477117	-0.319821874	-0.390897396	1.590329928	-0.795890928	-1.388615761	0.483308885	0.140669734	-1.821651493
non	TCGA.96.8169.01	-0.669639995	-0.665665788	0.079374584	0.456374977	-1.309278077	0.45016366	-1.244206754	0.44427336	0.70600228	0.464039018	-0.375682108	0.485620357	0.474675858	0.441886432	0.842687493	0.187861799	-0.319343373	0.356602569	-0.447248424	0.029050587	0.986253874	-0.255878504	0.020382255	-0.072977164	0.592048341	0.988748525	-0.86981212	-0.856923649
non	TCGA.96.8170.01	-0.463549381	-0.51743382	0.545240941	0.400889118	-0.289566197	1.053162059	0.229251553	0.504055787	0.07714564	-0.42518022	-0.970607851	-0.165823864	0.133167615	0.907050257	-0.336715493	0.423243908	-0.127880623	1.652421245	-0.251493137	-0.2493959	-0.058070478	1.014922438	0.384434972	-1.161758529	-0.722190317	-0.180654793	-1.513034175	0.219573702
non	TCGA.96.A4JL.01	1.677263205	1.370632752	1.939743002	-0.562763404	-0.400530306	-1.92813458	0.069229498	2	-0.301531708	-1.100111907	1.59066345	-0.896584538	0.831053804	-2	-0.716978721	1.043818979	-0.651275636	-1.771527139	-0.212884092	-0.713069012	2	-0.562560883	-2	1.079532478	-1.147094227	-0.072248836	-1.559057895	-0.77467581
non	TCGA.98.7454.01	0.703280642	-1.093265453	-0.141355036	-2	-1.77849248	1.932751359	0.289825078	1.096704079	-0.570128513	0.413692327	0.844445225	-2	-2	-1.458534985	1.094577275	1.518146922	0.53705929	-1.062589944	1.583246627	0.692306934	0.241588472	1.199659947	0.16306165	1.033035148	0.624986172	-0.371188216	-1.906706863	0.062638144
non	TCGA.98.8020.01	-0.170659969	-0.49351137	-0.307076495	-0.034076196	0.265054511	0.834982647	-1.177232365	0.360452545	-0.76741872	0.99408611	-0.118103501	0.506622405	-0.50793366	-0.20214539	0.403757888	0.52268802	-0.347147382	0.282543805	0.629932437	-0.030951948	-0.260729965	-0.315324597	1.231755253	-0.559795932	-0.069602304	0.043301851	-1.576989698	-0.561078584
non	TCGA.98.8021.01	-0.865710622	-1.004159437	-1.124976011	0.643141292	0.585095481	0.598720433	-0.185535477	-0.768675426	-0.002303666	0.712804515	0.791750173	1.612849738	0.280653867	0.493232944	0.01078881	-1.668810433	0.410958592	2	-0.599057989	0.727107452	0.514606138	0.11687497	0.208706449	-1.422061861	-0.726718941	0.313324541	1.263822008	-0.131814689
non	TCGA.98.8022.01	-0.22085164	0.064423647	0.262695342	-0.286946858	1.115731955	-0.797019861	-0.484984414	0.347708637	-0.009444168	-0.679838238	-0.845558506	0.636592005	0.674118596	0.039682106	-0.213211052	0.254457636	0.086415112	0.718169098	-1.286144385	-0.208073283	0.277108219	2	-0.322808539	-0.205851804	0.37490703	0.691052621	-0.087957385	0.112194756
non	TCGA.98.8023.01	0.356778572	-0.091926501	0.676575791	-0.042605585	-0.641735135	-0.387843781	0.169222231	1.161836819	0.8241139	1.778394635	0.479159026	0.458949023	1.392325728	-1.151781292	1.00521841	0.815325094	-1.711730141	-0.822178371	0.037226384	-0.723521814	0.668961902	-1.517650274	-1.333900288	-0.597936454	-1.522363586	-0.878473095	-1.249703803	-0.633185098
